id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
494823,Cozy Near Columbia,2019-11-12,Manhattan,Morningside Heights,88.0,9.0,9.0,40.80271,-73.95888,Apartment,Entire home/apt,3,1,1,0,120.0,100.0,25.0,2,1,10.0,2019-11-12,0.73,67,167,22
510218,Upper West Side 1-Bedroom,2019-11-17,Manhattan,Upper West Side,92.0,10.0,9.0,40.79218,-73.97926,Apartment,Entire home/apt,2,1,1,700,185.0,300.0,100.0,2,2,39.0,2019-11-17,2.01,183,307,2
512022,"Sunny, Clean, Minimal, Modern Apt",2019-12-04,Manhattan,East Village,94.0,9.0,9.0,40.7221,-73.98244,Apartment,Entire home/apt,2,1,1,0,200.0,500.0,150.0,1,2,4.0,2019-12-04,0.29,26,76,62
525523,Comfortable Private Room in Upper Manhattan 2BR,2019-12-01,Manhattan,East Harlem,94.0,9.0,9.0,40.80762,-73.94017,Apartment,Private room,2,1,1,132,50.0,500.0,75.0,1,2,19.0,2019-12-01,1.14,35,71,48
538344,East Village Oasis!  1Bd Apt,2019-11-21,Manhattan,East Village,94.0,10.0,9.0,40.72924,-73.98113,Condominium,Entire home/apt,4,1,1,0,195.0,0.0,95.0,1,2,36.0,2019-11-21,2.38,177,89,25
539160,Manhattan *SuperHost* Luxury 2 Bdrm Apt Sleeps 6+,2019-12-01,Manhattan,Washington Heights,97.0,9.0,10.0,40.83064,-73.94076,Apartment,Entire home/apt,7,1,2,0,170.0,750.0,100.0,4,1,20.0,2019-12-01,0.73,63,13,35
540057,Stylish Uptown Westside Apt.,2019-11-06,Manhattan,Harlem,97.0,9.0,10.0,40.82445,-73.95243,Apartment,Entire home/apt,5,1,2,0,185.0,100.0,60.0,2,1,39.0,2019-11-06,1.22,111,103,112
564184,CLEAN PRIVATE ROOM IN CHELSEA NYC,2019-11-04,Manhattan,Chelsea,98.0,10.0,10.0,40.73971,-74.00221,Apartment,Private room,1,1,1,0,125.0,100.0,20.0,1,2,19.0,2019-11-04,0.53,47,66,118
564447,GREAT DEAL IN TIMES SQ./HK,2019-11-25,Manhattan,Hell's Kitchen,96.0,10.0,10.0,40.75767,-73.99034,Apartment,Entire home/apt,2,1,1,0,190.0,100.0,70.0,2,1,58.0,2019-11-25,3.01,222,147,490
566712,"GREAT EAST VILLAGE LOCATION, ELEVATOR & ROOFTOP!!!",2019-11-17,Manhattan,East Village,93.0,10.0,9.0,40.72819,-73.97933,Apartment,Private room,4,1,1,0,107.0,1000.0,75.0,2,1,34.0,2019-11-17,1.55,135,145,22
568743,☆ 2BR East Village ☆ Sleeps 5 | BEST LOCATION ☆,2019-11-17,Manhattan,East Village,85.0,10.0,9.0,40.72603,-73.98751,Apartment,Entire home/apt,5,1,2,0,151.0,100.0,95.0,2,2,57.0,2019-11-17,2.68,240,327,234
